Benchmarks	system.cpu.icache.overall_miss_rate::total
speclibm_1064	0.011052
speclibm_1065	0.018531
speclibm_1066	0.013373
speclibm_1067	0.011052
speclibm_1068	0.018531
speclibm_1069	0.013373
speclibm_1070	0.011052
speclibm_1071	0.018531
speclibm_1072	0.013373
speclibm_1073	0.011052
speclibm_1074	0.018531
speclibm_1075	0.013373
speclibm_1076	0.011052
speclibm_1077	0.018531
speclibm_1078	0.013373
speclibm_1079	0.011052
speclibm_1080	0.018531
speclibm_1081	0.013373
speclibm_1082	0.011052
speclibm_1083	0.018531
speclibm_1084	0.013373
speclibm_1085	0.011052
speclibm_1086	0.018531
speclibm_1087	0.013373
speclibm_1088	0.011052
speclibm_1089	0.018531
speclibm_1090	0.013373
speclibm_1091	0.011052
speclibm_1092	0.018531
speclibm_1093	0.013373
speclibm_1094	0.011052
speclibm_1095	0.018531
speclibm_1096	0.013373
speclibm_1097	0.011052
speclibm_1098	0.018531
speclibm_1099	0.013373
speclibm_1100	0.011052
speclibm_1101	0.018531
speclibm_1102	0.013373
speclibm_1103	0.011052
speclibm_1104	0.018531
speclibm_1105	0.013373
speclibm_1106	0.011052
speclibm_1107	0.018531
speclibm_1108	0.013373
speclibm_1109	0.011052
speclibm_1110	0.018531
speclibm_1111	0.013373
speclibm_1112	0.011052
speclibm_1113	0.018531
speclibm_1114	0.013373
speclibm_1115	0.011052
speclibm_1116	0.018531
speclibm_1117	0.013373
speclibm_1118	0.011052
speclibm_1119	0.018531
speclibm_1120	0.013373
speclibm_1121	0.011052
speclibm_1122	0.018531
speclibm_1123	0.013373
speclibm_1124	0.011052
speclibm_1125	0.018531
speclibm_1126	0.013373
speclibm_1127	0.011042
speclibm_1128	0.018531
speclibm_1129	0.013373
speclibm_1130	0.011052
speclibm_1131	0.018531
speclibm_1132	0.013373
speclibm_1133	0.011052
speclibm_1134	0.018531
speclibm_1135	0.013373
speclibm_1136	0.011052
speclibm_1137	0.018531
speclibm_1138	0.013373
speclibm_1139	0.011052
speclibm_1140	0.018531
